artist_id,year_end_score,is_pop,year,artist_name,parent_genre
3crnzLy8R4lVwaigKEOz7V,144,0,2014,E-40,Hip Hop
7ML9AQvVVE3c5m0sx1PlmP,144,0,2014,Being As An Ocean,Rock
1C62FV9Cltn9L4c9jAwCyk,144,0,2014,Emmure,Rock
0oSGxfWSnnOXhD2fKuz2Gy,144,0,2014,David Bowie,Rock
2ActkR0xU2ZiDhWYhijydE,144,0,2014,Grieves,Avant-Garde & Experimental
6fBF4MULW5yMzyGaon1kUt,143,0,2014,John Butler Trio,Country & Folk
6C403AR4y6PjN0xNNGh42m,143,0,2014,Shabazz Palaces,Hip Hop
25KNo5GDS6ZpLkjasaecA3,143,0,2014,Thievery Corporation,Jazz
4JNF6YOUi69O4zAdwQVGLY,143,0,2014,Killer Be Killed,Rock
44LPOpECjnIlnwH91wo2ir,143,0,2014,All Sons & Daughters,Christian
16eRpMNXSQ15wuJoeqguaB,143,0,2014,The Flaming Lips,Rock
0ZWQOiDsRVjQXoSljCxraD,142,0,2014,Nehruviandoom,Hip Hop
0wnsM0ziqToBwQeEbH0akL,142,0,2014,Social Club Misfits,Christian
4ypEjUTTCcPB0dgjQBQyf5,142,0,2014,PRhyme,Hip Hop
3tdsh4B7GuigHI4vPtUs87,142,0,2014,Adore Delano,Pop
6qL5lCa1VbCzWiVgnj6QIV,141,0,2014,Anthony Evans,Christian
4V8Sr092TqfHkfAA5fXXqG,141,0,2014,Luis Fonsi,Latin
1l0mKo96Jh9HVYONcRl3Yp,140,0,2014,2NE1,Pop
68tKVjVvcqUfKFFLr2j0Ek,140,0,2014,Emarosa,Rock
4kKaAWGdu6WW0W415RWaQA,140,0,2014,South Park Mexican,Hip Hop
0YEt8MbsfCuhdm9FomLNqM,140,0,2014,Rapture Ruckus,Christian
7Jgf8XBIsOlXS1XOTOwz4A,140,0,2014,Chris Robinson Brotherhood,Blues & Soul
2pH3wEn4eYlMMIIQyKPbVR,139,0,2014,DragonForce,Rock
3RMHexittaAZkf8zukkZB8,139,0,2014,Trevor Hall,Pop
6i0KVTOvm96T55mbp742ks,139,0,2014,Pennywise,Rock
