song_id,year_end_score,is_pop,year,artist_id,song_name,artist_name,parent_genre
4pUUhsc8fmZqnsPaOSU5CP,30,0,2010,3DiDSECUqqY1AuBP8qtaIa,Fireworks,Alicia Keys,Pop
65YX6qx31L6SOQlrSMGYeM,30,0,2010,6dse9FDodKw65ZQoLjE5F1,Who I Am,Nick Jonas & The Administration,Pop
2Ya2rGB2Bl4dJqJznK1XfD,29,0,2010,0SCbttzoZTnLFebDYmAWCm,Beth (Glee Cast Version),Glee Cast,Other
1P3zyI72yOaZVHgZLurJu4,29,0,2010,6OFiYrxwbrvFTqbU4VWyzU,Breathless (In The Style Of Taylor Swift),Ameritz Karaoke Band,Other
2KBudV1Lf6ZDIS9hi60Lc5,29,0,2010,0a1gHP0HAqALbEyxaD5Ngn,I Won't Let Go,Rascal Flatts,Country & Folk
7dMzMFdEdKm5YYpOl9ltbr,29,0,2010,32WkQRZEVKSzVAAYqukAEA,Ready To Love Again,Lady Antebellum,Country & Folk
4E8ACcXCG8a7utKSlAmUDs,28,0,2010,0SCbttzoZTnLFebDYmAWCm,Bridge Over Troubled Water (Glee Cast Version),Glee Cast,Other
4L9J2or96xvWhQwWw09fHO,28,0,2010,3aBkeBhwadnWMWoVJ2CxJC,Mockingbird,Rob Thomas,Pop
3wGnGk9AtI0HFunOexdOIT,28,0,2010,1Cs0zKBU1kc0i8ypK3B9ai,Who's That Chick? (feat. Rihanna),David Guetta,Pop
3922kPG1JMYBNhACLo9j3f,27,0,2010,55Aa2cqylxrFIXC767Z865,4 My Town (Play Ball),Lil Wayne,Hip Hop
2uhaDVmfG7pT94VO5jl2r4,27,0,2010,7slfeZO9LsJbWgpkIoXBUJ,Lo Mejor de Mi Vida Eres Tú,Ricky Martin,Pop
1bufAJtv0Ht1IxuwmveJAa,27,0,2010,0SCbttzoZTnLFebDYmAWCm,I Look To You (Glee Cast Version),Glee Cast,Other
610FzmkhFSsORpECZbjT4X,26,0,2010,55Aa2cqylxrFIXC767Z865,Bill Gates,Lil Wayne,Hip Hop
6T5C1e56lt5bpLPGFszX0l,26,0,2010,0SCbttzoZTnLFebDYmAWCm,To Sir With Love (Glee Cast Version),Glee Cast,Other
0Ohi2pjBS1yak2BSgJRaIs,26,0,2010,5YGY8feqx7naU7z4HrwZM6,Stay,Miley Cyrus,Pop
57C67IcoKSWaiijRkYulHW,26,0,2010,3aQeKQSyrW4qWr35idm0cy,Reverse Cowgirl,T-Pain,Pop
