album_id,album_name,popularity,total_tracks,album_type,artist_id
020lmOdHdod1TfSz4mowlY,Soul Symphony,19,9,album,69k2JfIQxMpBbc1wtmHWZY
021ZLVmNJledtkHh4cwfEy,Dora The Explorer: Dance Fiesta!,47,16,album,4zMssRZ6iG7sJm54RwFozt
021zMZKO2pUA3yoUQFW2uy,These Days...,50,15,album,0g9vAlRPK9Gt3FKCekk4TW
022DrG7Wp2PSCwzuD0bSzT,American Beauty / American Psycho,80,11,album,4UXqAaa6dQYAk18Lv7PEgX
022I8JNsbclNqE0hJDxhYz,...featuring,46,18,album,2Kx7MNY7cI1ENniW7vT30N
024Mn3YS075HTv85dp5KnU,American Goldwing,36,11,album,72XY3HrDdFfZXNZFCT9Zh1
026UHaCSPyAdsz12UNzYFN,Gutta,45,16,album,31HjiqargV4NAw4GZqUale
028UyLRMn9HnuTvRaWAVTF,Still Alive And Well,35,12,album,2ODUxmFxJSyvGiimNhMHbO
02ae5i5UAoFrt2peVox9Xd,Let The Road,71,10,album,0kkxsdcaWmWU2yWAqclDh4
02b92hCVxkDVWaQk6OPDXi,For All Seasons,21,13,album,6hOMsNrEKV7FzQpypeZGf5
02BqYo5kKz9Xdz1V8eeNdC,Lovescape,21,15,album,7mEIug7XUlQHikrFxjTWes
02ByKEPUeyGptMqkgucozH,I've Gotta Be Me,0,2,single,76XE4h4VXk8KbLJallt9Ym
02dM7A6qFHQG6P6HOGcqAG,I Remember You,12,11,album,6Qdqv5WM6z1WxWWjuuiogR
02e3tbWQsLhC2erf6eFqmO,By Any Means 2,45,14,album,1gPhS1zisyXr5dHTYZyiMe
02ER13KaisZo5CG2BydCWn,Americana,27,15,album,6spXkXEP6teMn2cu9sWbBR
02f3y3NTsddjdUMoNiBppI,Make It Big,75,8,album,5lpH0xAS4fVfLkACg9DAuM
02fBX9fLFfOG2v33oZo73z,Entre A Mi Mundo,49,13,album,6IE6z7DcZIT4Ml3Fh5Ivch
02gH963ro23jvFuWkBds0s,Better Nature,47,10,album,6qyi8X6MdP1lu6B1K6yh3h
02GkniNgqcE3YjgxRhue6q,Land Of Giants,18,13,album,77OdfWXrYy6DcYPzmUOr6a
02GT8jXOE3LEbsLjyBMVnG,Meeting in the Ladies Room,3,2,single,2wh5Qu35PjDbJBqAv65RGa
02gV87QEIFp2T9q7OqVBjj,3 (The Purple Album),70,10,album,25u4wHJWxCA9vO0CzxAbK7
02GVhWjMuoQBQUtNhjWsnG,Conspiracy,55,15,album,3r0OeTcOw37N9juMYyyw39
02GviKTvdlVU6eN0mp10nG,What I Live To Do,26,10,album,5iMTJIPXD78N7r7DcDvcFL
02ig0hCHKtFSaagoGYQAaZ,Amazing Grace,15,2,single,4QtPvWkKXNZ5NJ4KRaKWql
02iMocEdcylXLVbL0zhenG,Midnight Cowboy,0,1,single,59fmHoaOxOnODm09irzD8H
02ipkMJrhy8c4Eh4wAlis2,Standards,41,15,album,0oQLexIBY9SlMhtbSIPFAO
02IqjUNqTYsXLwW77uBJef,Murder Was the Case,20,14,album,13y7CgLHjMVRMDqxdx0Xdo
02IWlpaz5c17t21cs0PW9L,Chain Gang Of Love,31,13,album,3LTXHU3DhiYzGIgF2PP8Q8
02Jahi5JyeAycCsYMM7b0J,Fornever,28,10,album,7B6TQqMQNF8DWq7XoAr4kf
02KsHn9eRmCb7Qi35HEJk9,Gravity's Rainbow,27,12,album,43mhFhQ4JAknA7Ik1bOZuV
02L3omBFDTHrt0rV39Zw0n,Je Dis Oui!,44,15,album,6KyUat70qaniuiZq63HzFZ
02l3w17Ho7JbqY5oupZ4bm,Nut Sack,41,16,album,7xsMZdxw6eEJXGTLZulONO
02lHOOSSZXccX6QoCSbpey,Pure Rock Fury,43,13,album,161AC1AVRkIGIMxyj5djFQ
02lktkm4J7K7N8T63Gm7KX,Black Sunday,70,14,album,4P0dddbxPil35MNN9G2MEX
02mDd1vg3xHPOxpNYkZIGP,Point Of Entry,47,12,album,2tRsMl4eGxwoNabM08Dm4I
02mTuuG5luHOYXPLcJIBjN,Kool Jazz,33,14,album,3VNITwohbvU5Wuy5PC6dsI
02mV855hlwGMJVOEDwzO6x,If You Can't Lick 'Em,16,10,album,21ysNsPzHdqYN2fQ75ZswG
02NFENxQwJZV6qaSlIGCFe,American Doll Posse,17,24,album,1KsASRNugxU85T0u6zSg32
02NhNhhyNfv5OdlJw4jUpj,Automatic,59,14,album,6TQj5BFPooTa08A7pk8AQ1
02OueHtB95LViMDkMxOQTI,Peter Criss,38,10,album,5DWj9QLyCN9dyQydd1P9QG
02pjVcQKk8Y9Stf33hLyjr,American Tour,27,11,album,2HBbky0Z08ZcCKVsXWbNE4
02QwqCtrnICfTOvSkcN2Wf,Comal County Blue,38,12,album,1sX1MkGoDKuMzzhaALPFyZ
02R6PYIzdLhHQmSJjzzwIX,Cool Yule,18,11,album,13y0kncDD4J9wxCyfKr10W
02rHJmk8QyhQZZsxVJxlM2,Bloodrock 3,16,8,album,522yoVmanZmrgK5qy3GyRK
02Rn37LdpJRiB6nUzNO081,Pearly Shells,0,3,single,4Z6WehLCUZYmz0RJL8CXCw
02SCJNeIcA8tu4j9AN3ko4,The Best Of The 4 Tops,25,14,compilation,7fIvjotigTGWqjIz6EP1i4
02sEJTj1sye1JaqxqpcSCp,Encore,80,14,album,540vIaP2JwjQb9dm3aArA4
