year,genre,word,count
1965,Christian,got,21
1965,Christian,make,18
1965,Christian,big,18
1965,Christian,well,17
1965,Christian,may,17
1965,Christian,let,16
1965,Christian,old,16
1965,Christian,wacka,16
1965,Christian,say,14
1965,Christian,love,14
1965,Christian,day,14
1965,Christian,get,13
1965,Christian,heart,12
1965,Christian,away,11
1965,Christian,free,11
1965,Christian,way,10
1965,Christian,two,10
1965,Christian,tell,10
1965,Christian,nose,10
1965,Christian,four,10
1965,Classical,back,7
1965,Classical,crawling,6
1965,Classical,know,3
1965,Classical,come,2
1965,Classical,else,2
1965,Classical,need,2
1965,Classical,would,1
1965,Classical,world,1
1965,Classical,wherever,1
1965,Classical,whenever,1
1965,Classical,turns,1
1965,Classical,turned,1
1965,Classical,stop,1
1965,Classical,still,1
1965,Classical,stare,1
1965,Classical,really,1
1965,Classical,people,1
1965,Classical,one,1
1965,Classical,might,1
1965,Classical,making,1
1965,Classical,love,1
1965,Classical,lonely,1
1965,Classical,lead,1
1965,Classical,knows,1
1965,Classical,heaven,1
1965,Country & Folk,les,190
1965,Country & Folk,est,157
1965,Country & Folk,pas,152
1965,Country & Folk,des,135
1965,Country & Folk,dans,94
1965,Country & Folk,comme,69
1965,Country & Folk,pour,64
1965,Country & Folk,que,64
1965,Country & Folk,mais,56
1965,Country & Folk,mes,52
1965,Country & Folk,qui,52
1965,Country & Folk,suis,51
1965,Country & Folk,mon,47
1965,Country & Folk,une,46
1965,Country & Folk,quand,39
1965,Country & Folk,couplet,36
1965,Country & Folk,sur,29
1965,Country & Folk,faire,29
1965,Country & Folk,avec,25
1965,Country & Folk,plus,24
1965,Country & Folk,même,23
1965,Country & Folk,tout,23
1965,Country & Folk,moi,22
1965,Country & Folk,faut,22
1965,Country & Folk,fait,22
1965,Electronic,love,5
1965,Electronic,birds,2
1965,Electronic,look,2
1965,Electronic,sing,2
1965,Electronic,together,2
1965,Electronic,trees,2
1965,Electronic,true,2
1965,Electronic,wing,1
1965,Electronic,whose,1
1965,Electronic,whisper,1
1965,Electronic,way,1
1965,Electronic,walk,1
1965,Electronic,vocals,1
1965,Electronic,write,1
1965,Electronic,words,1
1965,Electronic,swaying,1
1965,Electronic,sun,1
1965,Electronic,suddenly,1
1965,Electronic,stream,1
1965,Electronic,stand,1
1965,Electronic,sky,1
1965,Electronic,skelter,1
1965,Electronic,shelter,1
1965,Electronic,shadows,1
1965,Electronic,serene,1
1965,Jazz,says,1304
1965,Jazz,one,1263
1965,Jazz,know,1141
1965,Jazz,back,832
1965,Jazz,get,822
1965,Jazz,man,770
1965,Jazz,day,739
1965,Jazz,would,713
1965,Jazz,see,697
1965,Jazz,dirk,690
1965,Jazz,love,667
1965,Jazz,come,648
1965,Jazz,little,641
1965,Jazz,mam,639
1965,Jazz,say,624
1965,Jazz,time,597
1965,Jazz,said,596
1965,Jazz,tell,590
1965,Jazz,good,587
1965,Jazz,never,565
1965,Jazz,two,563
1965,Jazz,right,562
1965,Jazz,want,552
1965,Jazz,jack,539
1965,Jazz,could,535
1965,Other,mmm,66
1965,Other,come,34
1965,Other,let,32
1965,Other,name,25
1965,Other,show,18
1965,Other,say,17
1965,Other,drink,14
1965,Other,tomorrow,13
1965,Other,wait,13
1965,Other,said,12
1965,Other,downtown,11
1965,Other,away,10
1965,Other,dad,10
1965,Other,forget,10
1965,Other,fanna,9
1965,Other,fee,9
1965,Other,home,9
1965,Other,never,9
1965,Other,time,8
1965,Other,place,8
1965,Other,little,8
1965,Other,girl,8
1965,Other,daddy,8
1965,Other,back,7
1965,Other,got,7
1965,Pop,one,546
1965,Pop,love,539
1965,Pop,michael,485
1965,Pop,bloom,441
1965,Pop,know,433
1965,Pop,day,404
1965,Pop,feat,373
1965,Pop,man,368
1965,Pop,venkman,353
1965,Pop,time,351
1965,Pop,see,338
1965,Pop,come,328
1965,Pop,get,327
1965,Pop,back,303
1965,Pop,right,280
1965,Pop,got,261
1965,Pop,stantz,254
1965,Pop,good,254
1965,Pop,want,251
1965,Pop,say,247
1965,Pop,night,245
1965,Pop,make,244
1965,Pop,way,242
1965,Pop,hand,234
1965,Pop,two,230
1965,R&B & Funk,brown,51
1965,R&B & Funk,got,31
1965,R&B & Funk,little,28
1965,R&B & Funk,rock,23
1965,R&B & Funk,good,22
1965,R&B & Funk,thea,21
1965,R&B & Funk,black,20
1965,R&B & Funk,one,18
1965,R&B & Funk,new,18
1965,R&B & Funk,man,18
1965,R&B & Funk,doctor,18
1965,R&B & Funk,back,18
1965,R&B & Funk,would,17
1965,R&B & Funk,way,16
1965,R&B & Funk,right,16
1965,R&B & Funk,time,16
1965,R&B & Funk,get,15
1965,R&B & Funk,arms,15
1965,R&B & Funk,feel,14
1965,R&B & Funk,music,14
1965,R&B & Funk,tellamantez,14
1965,R&B & Funk,white,14
1965,R&B & Funk,always,13
1965,R&B & Funk,mrs,13
1965,R&B & Funk,nice,13
1965,Rock,time,335
1965,Rock,one,147
1965,Rock,love,127
1965,Rock,know,118
1965,Rock,got,112
1965,Rock,get,109
1965,Rock,come,87
1965,Rock,shuffle,83
1965,Rock,present,82
1965,Rock,man,80
1965,Rock,see,78
1965,Rock,day,77
1965,Rock,would,72
1965,Rock,marlo,72
1965,Rock,never,67
1965,Rock,want,67
1965,Rock,may,66
1965,Rock,two,62
1965,Rock,back,62
1965,Rock,make,61
1965,Rock,long,61
1965,Rock,duration,60
1965,Rock,think,58
1965,Rock,girl,57
1965,Rock,first,56
1966,Avant-Garde & Experimental,says,382
1966,Avant-Garde & Experimental,joe,121
1966,Avant-Garde & Experimental,one,115
1966,Avant-Garde & Experimental,citizen,87
1966,Avant-Garde & Experimental,would,82
1966,Avant-Garde & Experimental,old,71
1966,Avant-Garde & Experimental,bloody,69
1966,Avant-Garde & Experimental,bloom,65
1966,Avant-Garde & Experimental,alf,57
1966,Avant-Garde & Experimental,know,53
1966,Avant-Garde & Experimental,time,52
1966,Avant-Garde & Experimental,said,52
1966,Avant-Garde & Experimental,see,52
1966,Avant-Garde & Experimental,white,48
1966,Avant-Garde & Experimental,man,46
1966,Avant-Garde & Experimental,day,45
1966,Avant-Garde & Experimental,good,41
1966,Avant-Garde & Experimental,way,40
1966,Avant-Garde & Experimental,little,39
1966,Avant-Garde & Experimental,god,39
1966,Avant-Garde & Experimental,well,39
1966,Avant-Garde & Experimental,around,38
1966,Avant-Garde & Experimental,came,38
1966,Avant-Garde & Experimental,made,38
1966,Avant-Garde & Experimental,people,37
1966,Blues & Soul,says,1286
1966,Blues & Soul,one,966
1966,Blues & Soul,know,908
1966,Blues & Soul,get,811
1966,Blues & Soul,back,683
1966,Blues & Soul,said,658
1966,Blues & Soul,mam,639
1966,Blues & Soul,man,632
1966,Blues & Soul,see,569
1966,Blues & Soul,would,543
1966,Blues & Soul,tell,538
1966,Blues & Soul,want,521
1966,Blues & Soul,bloom,508
1966,Blues & Soul,two,504
1966,Blues & Soul,time,501
1966,Blues & Soul,day,490
1966,Blues & Soul,little,483
1966,Blues & Soul,never,483
1966,Blues & Soul,come,477
1966,Blues & Soul,say,466
1966,Blues & Soul,good,462
1966,Blues & Soul,dad,450
1966,Blues & Soul,malcolm,430
1966,Blues & Soul,people,428
1966,Blues & Soul,peter,422
1966,Christian,bloom,434
1966,Christian,stephen,147
1966,Christian,zoe,106
1966,Christian,hand,97
1966,Christian,one,93
1966,Christian,man,76
1966,Christian,mrs,75
1966,Christian,old,71
1966,Christian,two,71
1966,Christian,back,68
1966,Christian,head,64
